岗位类型,招聘单位,城市,性别,年龄要求（区间）,特殊要求,是否接受有犯罪记录,位置,经度,维度,是否招聘,工作时间,薪资,工作内容,面试时间,试岗时间
美团外卖,上海易即达【广州】云台二站,广州,不限,18~41,会骑车，会导航，有健康证,否,白云区机场路建发广场111号187铺,113.259301,23.168908,是,早10：00~晚21：00具体班次根据站点调班,新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,,,
美团外卖,宁波万古【广州】夏茅站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区白云湖街道夏茅向西街14号,113.252278,23.224823,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】同德围站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区白云同德街道荔湾新院C栋110号,113.239524,23.180119,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.65-6.15/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.729元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】凤凰城站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市增城区长岗新村西十巷三十二号,113.600765,23.142218,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.5-6元/单)+全勤奖(200-400元/月)
+月度贡献奖(月完成800单以上,150元/月)
+星级补贴（0.713元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】黄边站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区鹤边员村东街东四巷16号一楼美团配送站点,113.269455,23.222929,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】江南西站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市海珠区江南大道中157号之二102房,113.273151,23.099423,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(6.55-7.05/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.818元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】正佳三站,广州,不限,18~41,会骑车，会导航，有健康证,否,广东省广州市天河区石牌西路东园小区西区17栋104,113.337366,23.131605,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(7-7.4/单)+全勤奖(200-400元/月)
+月度贡献奖(月完成800单以上,150元/月)
+星级补贴（0-0.763元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】龙洞站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市天河区龙洞梁婆山9巷2号,113.363702,23.200756,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.95-6.45/单)+全勤奖(200元/月)+纯新骑手奖励（首单日期21天内，单量上限500单 0.3元/单）+月度贡献奖(月完成≥800单,150元/月)+星级补贴（0-0.76元/单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额单补贴（2-80元/单）+重量补贴（0.4-58元封顶 ）+企客单 （0.2元  /单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】车陂站,广州,不限,18~40,会骑车，会导航，有健康证,否,广东省广州市天河区车陂街道,113.398505,23.11412,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(6.25-6.75/单)+全勤奖(200元/月)
+月度贡献奖(月完成800单以上,150元/月)
+星级补贴（0-0.790元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】生活区站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市黄埔区夏园万寿街东四巷1号101埔,113.520497,23.078452,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】石井站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区石门街道红星街十巷三号一楼美团配送站点,113.225645,23.215764,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】云台三站,广州,不限,18~40,会骑车，会导航，有健康证,否,广东省广州市白云区柯子岭长安南街十一巷2号1楼,113.277068,23.162461,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.95-6.45/单)+全勤奖(200元/月)+纯新骑手奖励（首单日期21天内，单量上限500单 0.3元/单）+月度贡献奖(月完成≥800单,150元/月)+星级补贴（0-0.76元/单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额单补贴（2-80元/单）+重量补贴（0.4-58元封顶 ）+企客单 （0.2元  /单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】江高平沙站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区江高镇江德四街23号106铺美团站点,113.221579,23.270216,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(6.55-7.05/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】南越宫站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市越秀区百灵路小茶横巷4号美团站点,113.261095,23.130771,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】南越宫二站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市越秀区百灵路小茶横巷4号美团站点,113.261095,23.130771,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(6.55-7.05/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,江西淼点吧【广州】正佳站,广州,不限,18~50,会骑车，会导航，有健康证,否,广州市天河区天河南街道德欣小区148号103，146号对面,113.335017,23.132042,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3650元（全勤），单量阶梯2：501-800单7.2元(7.2*300),单量阶梯3：801-1100单7.4元/单(7.4*300),单量阶梯4：>1100单7.5元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.863元/单）/五星（0.54369元/单）四星（0.3452元/单）三星（0.1726元/单）二星（0.11219元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,江西淼点吧【广州】石楼站,广州,不限,18~50,会骑车，会导航，有健康证,否,番禺区石楼镇沙浦东路8街8巷4号,113.49254,22.972115,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3200元（全勤），单量阶梯2：501-800单6.3元(6.3*300),单量阶梯3：801-1100单6.5元/单(6.5*300),单量阶梯4：>1100单6.6元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.713元/单）/五星（0.44919元/单）四星（0.2852元/单）三星（0.1426元/单）二星（0.09269元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,江西淼点吧【广州】车陂站,广州,不限,18~50,会骑车，会导航，有健康证,否,广州市天河区车陂街道东圃镇明珠街35号1楼,113.398434,23.114593,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3275元（全勤），单量阶梯2：501-800单6.45元(6.45*300),单量阶梯3：801-1100单6.65元/单(6.65*300),单量阶梯4：>1100单6.75元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.79元/单）/五星（0.4977元/单）四星（0.316元/单）三星（0.158元/单）二星（0.1027元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,江西淼点吧【广州】南村站,广州,不限,18~50,会骑车，会导航，有健康证,否,番禺区南村镇华南碧桂园岭御苑岭御一街8号104,113.372876,23.003261,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪2975元（全勤），单量阶梯2：501-800单5.85元(6.3*300),单量阶梯3：801-1100单6.05元/单(6.5*300),单量阶梯4：>1100单6.1元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.729元/单）/五星（0.45927元/单）四星（0.2916元/单）三星（0.1458元/单）二星（0.09477元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,江西淼点吧【广州】龙口站,广州,不限,18~50,会骑车，会导航，有健康证,否,广州市天河区德欣小区9号101,113.335574,23.130775,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3650元（全勤），单量阶梯2：501-800单7.2元(7.2*300),单量阶梯3：801-1100单7.4元/单(7.4*300),单量阶梯4：>1100单7.5元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.863元/单）/五星（0.54369元/单）四星（0.3452元/单）三星（0.1726元/单）二星（0.11219元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,江西淼点吧【广州】黄村站,广州,不限,18~50,会骑车，会导航，有健康证,否,"广州天河区黄村育
英路7号（美团站点）",113.411001,23.126297,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3200元（全勤），单量阶梯2：501-800单6.3元(6.3*300),单量阶梯3：801-1100单6.5元/单(6.5*300),单量阶梯4：>1100单6.6元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.713元/单）/五星（0.44919元/单）四星（0.2852元/单）三星（0.1426元/单）二星（0.09269元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,江西淼点吧【广州】科学城站,广州,不限,18~50,会骑车，会导航，有健康证,否,广州市黄浦区暹（xian)岗山庄迁岗新村东三街11号104,113.467465,23.172412,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3200元（全勤），单量阶梯2：501-800单6.3元(6.3*300),单量阶梯3：801-1100单6.5元/单(6.5*300),单量阶梯4：>1100单6.6元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.713元/单）/五星（0.44919元/单）四星（0.2852元/单）三星（0.1426元/单）二星（0.09269元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
